,DeepInception,AdvBench,HEx-PHI,Just-Eval
Retokenization,"3.36 (90.00%) (90.00%)
0.00 (0.00%) (0.00%)",0.00 (0.00%) (0.00%),1.76 (15.52%) (30.69%),
Self-Reminder,1.00 (0.00%) (0.00%),"0.00 (0.00%) (0.00%)
0.00 (0.00%) (0.00%)",,
Self-Exam,1.06 (2.00%) (2.00%),,"0.00 (0.00%) (0.00%)
1.00 (0.00%) (0.00%)",0.00 (0.00%) (0.00%)
nodefense,3.10 (62.00%) (62.00%),1.00 (0.00%) (0.00%),1.18 (0.69%) (2.07%),0.00 (0.00%) (0.00%)
SafeDecoding,1.04 (0.00%) (0.00%),,1.14 (0.34%) (1.03%),0.00 (0.00%) (0.00%)
PPL,3.10 (62.00%) (62.00%),"0.00 (0.00%) (0.00%)
0.00 (0.00%) (0.00%)","0.00 (0.00%) (0.00%)
1.18 (0.69%) (2.07%)",0.00 (0.00%) (0.00%)
ICD,1.00 (0.00%) (0.00%),,1.04 (0.00%) (0.34%),0.00 (0.00%) (0.00%)
Paraphrase,2.86 (54.00%) (56.00%),,1.27 (3.10%) (6.55%),0.00 (0.00%) (0.00%)
