,DeepInception,Just-Eval,HEx-PHI,AdvBench
Retokenization,,,"0.00 (0.00%) (0.00%)
2.80 (37.93%) (83.10%)",2.30 (27.88%) (83.65%)
Self-Reminder,2.50 (96.00%) (100.00%),,0.00 (0.00%) (0.00%),1.30 (0.00%) (62.50%)
Self-Exam,,0.00 (0.00%) (0.00%),0.00 (0.00%) (0.00%),1.47 (0.96%) (34.62%)
nodefense,4.22 (100.00%) (100.00%),0.00 (0.00%) (0.00%),,
SafeDecoding,4.44 (100.00%) (98.00%),"0.00 (0.00%) (0.00%)
0.00 (0.00%) (0.00%)",3.04 (24.14%) (71.38%),3.13 (9.62%) (73.08%)
Unlearning,"0.00 (0.00%) (0.00%)
4.18 (100.00%) (100.00%)",,"0.00 (0.00%) (0.00%)
0.00 (0.00%) (0.00%)
0.00 (0.00%) (0.00%)",
LayerBugFixer,4.26 (98.00%) (100.00%),,3.08 (20.00%) (58.97%),3.20 (14.42%) (71.15%)
PPL,0.00 (0.00%) (0.00%),,"2.85 (14.14%) (65.17%)
0.00 (0.00%) (0.00%)",3.01 (5.77%) (71.15%)
ICD,4.42 (100.00%) (100.00%),0.00 (0.00%) (0.00%),"0.00 (0.00%) (0.00%)
2.04 (11.72%) (35.17%)",1.28 (0.00%) (22.12%)
Paraphrase,0.00 (0.00%) (0.00%),0.00 (0.00%) (0.00%),0.00 (0.00%) (0.00%),2.63 (6.73%) (69.23%)
